season,team,W_PCT,NET_RATING,PLUS_MINUS,E_NET_RATING,PIE,E_OFF_RATING,PTS,OFF_RATING,TS_PCT,E_DEF_RATING
2013-14,Toronto Raptors,0.585,3.3,3.5,3.5,0.512,105.8,107.9,107.9,0.545,102.4
2013-14,Utah Jazz,0.305,-7.6,-7.7,-8.4,0.451,100.6,102.4,102.4,0.523,109.1
2013-14,Washington Wizards,0.537,1.3,1.3,0.9,0.504,103.3,104.9,104.9,0.538,102.4
2014-15,Atlanta Hawks,0.732,5.9,5.7,5.6,0.54,106.2,108.2,108.2,0.563,100.7
2014-15,Boston Celtics,0.488,0.3,0.2,-0.4,0.498,101.7,103.8,103.8,0.523,102.1
2014-15,Brooklyn Nets,0.463,-3.0,-3.0,-3.1,0.48,101.9,103.4,103.4,0.529,105.0
2014-15,Charlotte Hornets,0.402,-3.4,-3.4,-3.4,0.482,97.6,99.6,99.6,0.498,101.0
2014-15,Charlotte Bobcats,0.402,-3.4,-3.4,-3.4,0.482,97.6,99.6,99.6,0.498,101.0
2014-15,Chicago Bulls,0.61,3.0,3.2,3.3,0.529,104.7,106.3,106.3,0.536,101.5
2014-15,Cleveland Cavaliers,0.646,4.8,4.8,3.7,0.514,107.7,110.1,110.1,0.557,104.1
2014-15,Dallas Mavericks,0.61,3.2,3.0,3.5,0.521,107.2,108.2,108.2,0.55,103.7
2014-15,Denver Nuggets,0.366,-3.3,-3.6,-3.9,0.465,101.6,103.9,103.9,0.518,105.5
2014-15,Detroit Pistons,0.39,-1.1,-1.1,-1.8,0.478,102.3,104.3,104.3,0.515,104.2
2014-15,Golden State Warriors,0.817,9.9,10.1,11.4,0.569,109.7,110.4,110.4,0.571,98.2
2014-15,Houston Rockets,0.683,3.4,3.5,3.7,0.509,104.2,106.0,106.0,0.548,100.5
2014-15,Indiana Pacers,0.463,0.2,0.3,-0.1,0.505,100.8,102.9,102.9,0.523,100.9
2014-15,LA Clippers,0.683,6.9,6.9,6.9,0.54,109.8,111.6,111.6,0.565,103.0
2014-15,Los Angeles Clippers,0.683,6.9,6.9,6.9,0.54,109.8,111.6,111.6,0.565,103.0
2014-15,Los Angeles Lakers,0.256,-7.1,-7.1,-7.2,0.45,100.8,102.3,102.3,0.513,108.0
2014-15,Memphis Grizzlies,0.671,3.5,3.5,3.1,0.53,103.1,104.8,104.8,0.531,99.9
2014-15,Miami Heat,0.451,-3.0,-2.8,-2.4,0.492,101.5,103.2,103.2,0.54,103.8
2014-15,Milwaukee Bucks,0.5,0.6,0.4,1.2,0.511,100.5,102.0,102.0,0.536,99.3
2014-15,Minnesota Timberwolves,0.195,-9.1,-9.2,-9.8,0.453,99.8,101.8,101.8,0.517,109.6
2014-15,New Jersey Nets,0.463,-3.0,-3.0,-3.1,0.48,101.9,103.4,103.4,0.529,105.0
2014-15,New Orleans Hornets,0.549,0.8,0.9,0.7,0.508,105.4,107.1,107.1,0.537,104.7
2014-15,New Orleans Pelicans,0.549,0.8,0.9,0.7,0.508,105.4,107.1,107.1,0.537,104.7
2014-15,New York Knicks,0.207,-10.1,-10.0,-10.1,0.441,97.1,98.9,98.9,0.508,107.2
2014-15,Oklahoma City Thunder,0.549,2.1,2.2,1.3,0.505,104.5,106.7,106.7,0.532,103.1
2014-15,Orlando Magic,0.305,-5.9,-6.0,-5.6,0.455,99.6,101.0,101.0,0.524,105.2
2014-15,Philadelphia 76ers,0.22,-9.0,-9.3,-9.1,0.426,93.0,94.9,94.9,0.494,102.1
2014-15,Phoenix Suns,0.476,-1.1,-0.9,-0.5,0.491,102.9,104.2,104.2,0.537,103.4
2014-15,Portland Trail Blazers,0.622,4.3,4.4,4.2,0.522,105.5,107.1,107.1,0.544,101.4
2014-15,Sacramento Kings,0.354,-3.7,-3.8,-4.0,0.485,102.5,104.5,104.5,0.542,106.5
2014-15,San Antonio Spurs,0.671,6.3,6.5,6.6,0.545,106.2,107.6,107.6,0.555,99.6
2014-15,Toronto Raptors,0.598,3.1,3.3,3.2,0.506,108.1,110.2,110.2,0.553,104.8
2014-15,Utah Jazz,0.463,0.1,0.2,0.5,0.507,102.5,104.2,104.2,0.531,102.1
2014-15,Washington Wizards,0.561,0.6,0.8,1.9,0.525,101.8,103.0,103.0,0.534,100.0
2015-16,Atlanta Hawks,0.585,3.9,3.7,4.1,0.528,103.0,104.6,104.6,0.552,98.8
2015-16,Boston Celtics,0.585,3.3,3.2,3.0,0.52,103.9,105.8,105.8,0.531,100.9
2015-16,Brooklyn Nets,0.256,-7.4,-7.6,-7.6,0.46,100.9,102.4,102.4,0.527,108.5
